OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID
174,,Deerwood,Neighborhood,,,,,,118.22,0.18,Deerwood,P,,,GIS,2018-05-15T13:24:10.000Z,{211F218A-ADB4-4B32-BA66-A7E614697603}
175,,Wildwood Forest,Neighborhood,,,,,,66.54,0.1,Wildwood Forest,P,,,GIS,2018-05-15T13:24:10.000Z,{A44D051D-5F5E-46EE-9E04-285FAC754B42}
176,,Fairway Acres,Neighborhood,,,,,,123.54,0.19,Fairview Acres,P,,,GIS,2018-05-15T13:24:10.000Z,{A1CB4A09-E5DD-4657-8D52-05FB05B09CA5}
177,,Greenbriar Village,Neighborhood,,,,,,40.11,0.06,Greenbriar Village,P,,,GIS,2018-05-15T13:24:10.000Z,{C7DCAF44-90BD-410C-BC07-16EE7B572E63}
178,,Niskey Lake,Neighborhood,,,,,,270.02,0.42,Niskey Lake,P,,,GIS,2018-05-15T13:24:10.000Z,{73535AC2-D3F1-4F48-868B-EFA049F2411E}
179,,Kings Forest,Neighborhood,,,,,,419.04,0.65,Kings Forest,P,,,GIS,2018-05-15T13:24:10.000Z,{5BE770B1-714E-44ED-AE52-50387859B395}
180,,Whittier Mill Village,Neighborhood,,,,,,203.22,0.32,Whittier Village,D,,,GIS,2018-05-15T13:24:10.000Z,{FF5EA60A-EAA0-4D1A-A36A-6A73E65B3B3F}
181,,Hills Park,Neighborhood,,,,,,968.8,1.51,Hills Park,D,,,GIS,2018-05-15T13:24:10.000Z,{40F0B28C-64FB-4C17-9996-4D20DEA752CC}
182,,Bolton Hills,Neighborhood,,,,,,46.62,0.07,Bolton Hills,G,,,GIS,2018-05-15T13:24:10.000Z,{40CF5C4C-A8BE-4B8D-991F-74137FDFCB3B}
183,,Carver Hills,Neighborhood,,,,,,207.13,0.32,Carver Hills,G,,,GIS,2018-05-15T13:24:10.000Z,{1DE8E79D-19B2-438E-81CB-6F5BCA0E930A}
184,,Almond Park,Neighborhood,,,,,,337.31,0.53,Almond Park/Carey Park,G,,,GIS,2018-05-15T13:24:10.000Z,{E2D6AFCD-7D75-40E1-A900-D1EAE71266E2}
185,,Browns Mill Park,Neighborhood,,,,,,656.34,1.03,Browns Mill Park,Z,,,GIS,2018-05-15T13:24:10.000Z,{CFF2126B-68F1-4DC6-9A8C-8E869C1C2AA6}
186,,Swallow Circle/Baywood,Neighborhood,,,,,,199.5,0.31,Swallow Circle/Baywood,Z,,,GIS,2018-05-15T13:24:10.000Z,{C7B1F20E-0B9F-462D-A588-A10F009201C3}
187,,Polar Rock,Neighborhood,,,,,,299.83,0.47,Polar Rock,Z,,,GIS,2018-05-15T13:24:10.000Z,{7A0CC076-8AF4-485F-8F32-0F6991CE7E2F}
188,,Sylvan Hills,Neighborhood,,,,,,1052.92,1.65,Sylvan Hills,X,,,GIS,2018-05-15T13:24:10.000Z,{EFB04CA7-E97E-46C8-84BA-1A9798F7C9A6}
189,,Capitol View Manor,Neighborhood,,,,,,146.86,0.23,Capitol View Manor,X,,,GIS,2018-05-15T13:24:10.000Z,{83DC077C-28F5-4484-BED2-EB34D1267071}
190,,Amal Heights,Neighborhood,,,,,,36.42,0.06,Amal Heights,Y,,,GIS,2018-05-15T13:24:10.000Z,{404C3E0A-5EB5-49FE-8B54-8A03A4D612EC}
191,,West Lake,Neighborhood,,,,,,185.45,0.29,West Lake,J,,,GIS,2018-05-15T13:24:10.000Z,{075310B8-F0F0-4434-96B4-E2D519FEF105}
192,,Lakewood Heights,Neighborhood,,,,,,882.83,1.38,Lakewood Heights,Y,,,GIS,2018-05-15T13:24:10.000Z,{8183053D-F0BB-4392-8F26-7BD8B44BD3EF}
193,,South Atlanta,Neighborhood,,,,,,295.67,0.46,South Atlanta,Y,,,GIS,2018-05-15T13:24:10.000Z,{B33D913B-ADBE-4777-A8B1-AF1E72F83CEE}
